date,n
2021-12-22,73
2021-12-23,80
2021-12-24,98
2021-12-25,124
2021-12-26,88
2021-12-27,73
2021-12-28,74
2021-12-29,75
2021-12-30,80
2021-12-31,94
